elapsed_s,rows_seeded,state,watermark,chunks_processed,inference_calls,inference_avoided_rate,proj_records,proj_files,proj_bytes,proj_avg_records_per_file,proj_snapshots,cmap_records,cmap_files,cmap_avg_records_per_file,store_records,store_files,cluster_vectors,cluster_centroids,cluster_freshness,query_p50_ms,query_ok,seed_rate_rows_per_s,derive_rate_rows_per_s,free_disk_gb,load_avg_1m,worker_cpu_pct,worker_mem,postgres_cpu_pct,minio_cpu_pct
0.8,10000,VALIDATED,0,0,0,0.0,0,0,0,0,0,1959006,224,8745,1910006,620,0,953,BEHIND,0.0,0,25734.9,0.0,36.92,9.02,1.02,684.3MiB,0.06,0.0
123.4,1000000,BACKFILLING,0,5000,5000,0.0,0,0,0,0,0,1964006,225,8728,1915006,623,0,953,BEHIND,73.2,3,0.0,0.0,36.86,9.97,105.65,1.184GiB,0.01,5.94
247.6,1000000,BACKFILLING,0,5000,5000,0.0,0,0,0,0,0,1964006,225,8728,1915006,623,0,953,BEHIND,73.5,3,0.0,0.0,35.63,13.2,100.27,1.133GiB,0.11,5.49
371.2,1000000,LIVE,40,45000,45000,0.0,5000,1,7550318,5000,1,2004006,233,8600,1955006,647,0,953,BEHIND,271.7,3,0.0,40.4,35.42,7.89,39.22,1.091GiB,7.15,6.04
492.6,1000000,LIVE,40,440000,440000,0.0,5000,1,7550318,5000,2,2394006,311,7697,2345006,881,0,953,BEHIND,263.2,3,0.0,0.0,34.62,7.55,140.63,3.748GiB,27.46,13.93
613.1,1000000,LIVE,40,845000,845000,0.0,5000,1,7550318,5000,3,2794006,391,7145,2749006,1123,0,953,BEHIND,268.0,3,0.0,0.0,33.63,8.07,155.12,3.756GiB,10.74,7.6
735.7,1000000,LIVE,40,1000000,1000000,0.0,5000,1,7550318,5000,4,2959006,424,6978,2910006,1220,0,953,BEHIND,255.3,3,0.0,0.0,33.83,9.74,198.99,4.253GiB,0.35,5.63
858.4,1000000,LIVE,40,1000000,1000000,0.0,5000,1,7550318,5000,5,2959006,424,6978,2910006,1220,0,953,BEHIND,274.1,3,0.0,0.0,33.74,7.1,199.19,5.084GiB,0.05,9.72
980.7,1000000,LIVE,40,1000000,1000000,0.0,5000,1,7550318,5000,5,2959006,424,6978,2910006,1220,0,953,BEHIND,249.2,3,0.0,0.0,33.75,5.68,196.69,5.09GiB,0.02,15.96
1102.9,1000000,LIVE,40,1000000,1000000,0.0,5000,1,7550318,5000,5,2959006,424,6978,2910006,1220,0,953,BEHIND,319.9,3,0.0,0.0,33.47,6.5,316.78,5.091GiB,0.01,11.0
